Proficiency level,Preferred subjects,Preferred study times,Goals,Quiz scores,Completion rates,Time spent on different types of content,Curriculum structure,Available content,External factors,Learning style
Medium,Software,Morning,Short-term,1,1,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,2,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,3,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,4,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,5,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,7,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,8,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,9,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,10,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Long-term,1,6,8,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,1,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Software,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,12,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Morning,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,9,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Quiz,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,1,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,2,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,3,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,4,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,5,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,6,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,7,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,8,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,9,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,10,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,11,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,12,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,13,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,14,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,15,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,16,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,17,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,18,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,19,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,20,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,21,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,22,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,23,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,24,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,25,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,26,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,27,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,28,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,29,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,30,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,31,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,32,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,33,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,34,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,35,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,36,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,37,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Long-term,38,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,39,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,40,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,41,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,42,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,43,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Afternoon,Short-term,44,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,45,10,15,Exam,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,46,10,15,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,47,10,15,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,48,10,15,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,49,10,16,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,50,10,16,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,51,10,16,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,52,10,16,Knowledge,Tutorials,Time Constraints,Visual
High,Database,Evening,Short-term,53,10,16,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,54,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,55,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,56,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,57,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,58,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,59,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,60,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,61,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,62,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,63,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,64,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,65,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,66,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,67,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,68,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,69,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,70,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,71,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,72,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,73,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,74,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,75,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,76,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,77,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,78,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,79,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,80,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,81,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,82,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,83,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,84,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,85,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,86,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,87,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,88,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,89,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,90,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,91,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,92,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,93,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,94,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,95,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,96,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,97,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,98,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,99,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,100,10,11,Knowledge,Tutorials,Time Constraints,Visual
Medium,Database,Evening,Short-term,5,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,6,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,7,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,8,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,9,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,10,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,11,10,11,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,12,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,13,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,14,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,15,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,16,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,17,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,18,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,19,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,20,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,21,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,22,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,23,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,24,10,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,25,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,26,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,27,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,28,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,29,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,30,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Database,Evening,Short-term,31,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,32,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,33,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,34,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,35,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,36,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,37,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,38,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,39,8,9,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,40,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,41,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,42,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,43,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,44,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,45,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,46,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,47,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,48,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,49,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,50,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,51,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,52,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,53,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,54,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,55,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,56,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,57,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,78,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,79,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,80,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,81,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,82,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,83,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,84,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,85,8,8,Knowledge,Tutorials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,86,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,87,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,88,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,89,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,90,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,91,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,92,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,93,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,94,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,95,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,96,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
Medium,Network,Evening,Short-term,97,8,8,Knowledge,Reading Materials,Time Constraints,Kinesthetic
