Subject,Course Score,Learning Score,quiz Score,Complexity,Learning Content
Database Management,35,25,16,beginner,video
Cloud Computing,8,29,33,beginner,quiz
Cloud Computing,32,19,18,beginner,video
Cloud Computing,38,4,5,beginner,assignment
IT Project Management,25,40,36,beginner,quiz
IT Project Management,7,8,30,beginner,quiz
Network and System Administration,36,15,5,beginner,video
Web Development,38,22,39,beginner,assignment
Artificial Intelligence and Machine Learning,0,1,35,beginner,quiz
CyberSecurity,22,32,21,beginner,video
Network and System Administration,36,32,33,beginner,assignment
IT Project Management,3,37,39,beginner,quiz
Software Engineering and Development,17,9,12,beginner,assignment
IT Project Management,7,21,3,beginner,video
IT Project Management,37,26,32,beginner,assignment
Cloud Computing,39,25,20,beginner,video
Software Engineering and Development,8,9,40,beginner,quiz
Web Development,0,37,7,beginner,quiz
Software Engineering and Development,27,13,4,beginner,video
Devops and Systems Integration,37,25,1,beginner,video
Database Management,33,12,31,beginner,assignment
CyberSecurity,10,8,32,beginner,assignment
IT Project Management,18,26,20,beginner,quiz
IT Project Management,27,6,9,beginner,assignment
Artificial Intelligence and Machine Learning,7,39,40,beginner,quiz
Web Development,16,10,12,beginner,assignment
Cloud Computing,34,12,9,beginner,video
Database Management,32,2,1,beginner,video
Data Science and Analytics,23,38,26,beginner,quiz
Cloud Computing,25,32,36,beginner,quiz
IT Project Management,37,18,0,beginner,video
Devops and Systems Integration,5,24,38,beginner,quiz
Data Science and Analytics,16,32,10,beginner,video
Data Science and Analytics,3,22,14,beginner,quiz
Artificial Intelligence and Machine Learning,17,23,33,beginner,quiz
Artificial Intelligence and Machine Learning,9,24,8,beginner,video
Software Engineering and Development,0,22,25,beginner,quiz
Artificial Intelligence and Machine Learning,15,37,14,beginner,video
Cloud Computing,16,25,26,beginner,quiz
Web Development,10,21,2,beginner,video
IT Project Management,21,36,14,beginner,video
Artificial Intelligence and Machine Learning,26,18,34,beginner,assignment
Network and System Administration,6,30,18,beginner,quiz
Web Development,2,37,40,beginner,quiz
Database Management,12,1,30,beginner,assignment
Database Management,40,9,27,beginner,assignment
CyberSecurity,27,35,10,beginner,video
CyberSecurity,36,37,8,beginner,video
Web Development,20,4,24,beginner,assignment
Data Science and Analytics,21,38,39,beginner,quiz
Network and System Administration,11,33,38,beginner,quiz
Database Management,25,17,38,beginner,assignment
Software Engineering and Development,26,38,2,beginner,video
Software Engineering and Development,28,10,5,beginner,video
Database Management,2,22,30,beginner,quiz
Artificial Intelligence and Machine Learning,29,31,1,beginner,video
Database Management,1,5,39,beginner,quiz
IT Project Management,1,0,6,beginner,assignment
Data Science and Analytics,9,26,30,beginner,quiz
CyberSecurity,28,37,18,beginner,video
Database Management,38,10,37,beginner,assignment
CyberSecurity,19,36,25,beginner,quiz
Database Management,13,38,5,beginner,video
Data Science and Analytics,15,10,0,beginner,video
IT Project Management,33,30,34,beginner,assignment
IT Project Management,26,33,24,beginner,video
Data Science and Analytics,31,25,38,beginner,assignment
Cloud Computing,2,12,4,beginner,quiz
Network and System Administration,22,4,38,beginner,assignment
Software Engineering and Development,13,7,37,beginner,assignment
Artificial Intelligence and Machine Learning,9,22,17,beginner,quiz
Devops and Systems Integration,4,39,9,beginner,quiz
CyberSecurity,5,35,40,beginner,quiz
Data Science and Analytics,29,33,26,beginner,video
Devops and Systems Integration,6,34,5,beginner,video
IT Project Management,2,21,38,beginner,quiz
Database Management,26,8,1,beginner,video
CyberSecurity,4,21,7,beginner,quiz
Network and System Administration,29,17,34,beginner,assignment
Web Development,40,25,27,beginner,assignment
Cloud Computing,5,28,2,beginner,video
IT Project Management,17,11,22,beginner,assignment
IT Project Management,10,10,4,beginner,video
Web Development,36,0,39,beginner,assignment
Cloud Computing,2,10,0,beginner,video
Database Management,18,12,16,beginner,assignment
Data Science and Analytics,11,9,33,beginner,assignment
Database Management,9,4,12,beginner,assignment
Web Development,31,40,12,beginner,video
Data Science and Analytics,5,36,10,beginner,quiz
Data Science and Analytics,0,31,25,beginner,quiz
Devops and Systems Integration,26,11,16,beginner,assignment
Web Development,29,19,1,beginner,video
Database Management,19,14,33,beginner,assignment
Devops and Systems Integration,20,11,5,beginner,video
Web Development,37,38,11,beginner,video
Web Development,35,35,35,beginner,quiz
CyberSecurity,28,4,7,beginner,assignment
Web Development,4,21,27,beginner,quiz
Network and System Administration,0,38,29,beginner,quiz
Cloud Computing,4,39,12,beginner,quiz
Web Development,7,11,33,beginner,quiz
Cloud Computing,19,9,33,beginner,assignment
Database Management,23,33,38,beginner,quiz
Database Management,34,18,16,beginner,video
Devops and Systems Integration,2,18,7,beginner,quiz
Devops and Systems Integration,37,22,37,beginner,assignment
Web Development,26,14,24,beginner,assignment
IT Project Management,18,18,13,beginner,video
Data Science and Analytics,10,7,12,beginner,assignment
Devops and Systems Integration,23,8,21,beginner,assignment
Cloud Computing,8,0,35,beginner,assignment
CyberSecurity,35,30,20,beginner,video
Devops and Systems Integration,13,4,24,beginner,assignment
IT Project Management,29,18,7,beginner,video
Artificial Intelligence and Machine Learning,35,37,36,beginner,quiz
Database Management,38,3,35,beginner,assignment
IT Project Management,32,27,24,beginner,video
IT Project Management,21,15,27,beginner,assignment
Artificial Intelligence and Machine Learning,28,34,23,beginner,video
Data Science and Analytics,18,18,40,beginner,quiz
Database Management,30,34,26,beginner,video
IT Project Management,29,11,38,beginner,assignment
CyberSecurity,36,25,9,beginner,video
IT Project Management,36,6,29,beginner,assignment
Software Engineering and Development,7,15,14,beginner,quiz
Software Engineering and Development,14,33,35,beginner,quiz
Database Management,29,28,3,beginner,video
Network and System Administration,8,20,27,beginner,quiz
Network and System Administration,18,10,14,beginner,assignment
Cloud Computing,20,17,2,beginner,video
CyberSecurity,36,36,27,beginner,video
IT Project Management,17,24,19,beginner,quiz
Cloud Computing,21,31,24,beginner,quiz
Cloud Computing,12,29,1,beginner,video
Data Science and Analytics,18,0,8,beginner,assignment
Network and System Administration,23,17,16,beginner,video
Data Science and Analytics,2,8,19,beginner,quiz
Artificial Intelligence and Machine Learning,8,32,1,beginner,video
Web Development,30,5,5,beginner,assignment
Network and System Administration,40,6,15,beginner,assignment
Web Development,26,22,19,beginner,video
Web Development,24,19,11,beginner,video
Data Science and Analytics,5,38,32,beginner,quiz
Database Management,26,4,23,beginner,assignment
CyberSecurity,11,22,3,beginner,video
Web Development,32,14,4,beginner,video
CyberSecurity,9,11,10,beginner,quiz
Software Engineering and Development,13,22,31,beginner,quiz
Artificial Intelligence and Machine Learning,6,0,38,beginner,assignment
Web Development,20,32,37,beginner,quiz
Cloud Computing,21,15,13,beginner,video
Web Development,26,9,4,beginner,video
Web Development,32,29,37,beginner,assignment
Network and System Administration,3,4,5,beginner,quiz
CyberSecurity,33,1,9,beginner,assignment
Database Management,11,30,34,beginner,quiz
Database Management,25,23,29,beginner,assignment
IT Project Management,7,34,40,beginner,quiz
Network and System Administration,36,21,19,beginner,video
Web Development,17,19,37,beginner,quiz
Data Science and Analytics,38,10,0,beginner,video
Software Engineering and Development,6,23,23,beginner,quiz
CyberSecurity,18,40,1,beginner,video
IT Project Management,3,17,26,beginner,quiz
Database Management,32,6,31,beginner,assignment
Software Engineering and Development,21,22,39,beginner,quiz
Database Management,38,18,15,beginner,video
Cloud Computing,14,29,14,beginner,quiz
Data Science and Analytics,39,24,5,beginner,video
Database Management,31,14,22,beginner,assignment
Cloud Computing,1,14,18,beginner,quiz
IT Project Management,10,30,11,beginner,quiz
Data Science and Analytics,36,19,36,beginner,assignment
Data Science and Analytics,23,14,19,beginner,assignment
Software Engineering and Development,24,18,14,beginner,video
CyberSecurity,19,12,3,beginner,video
Software Engineering and Development,38,5,21,beginner,assignment
CyberSecurity,9,31,32,beginner,quiz
CyberSecurity,2,31,25,beginner,quiz
Network and System Administration,8,12,25,beginner,quiz
Data Science and Analytics,30,40,6,beginner,video
Software Engineering and Development,39,31,5,beginner,video
Software Engineering and Development,35,26,21,beginner,video
Network and System Administration,16,3,31,beginner,assignment
Cloud Computing,29,31,4,beginner,video
Network and System Administration,38,8,7,beginner,video
Web Development,26,29,25,beginner,video
Devops and Systems Integration,20,4,29,beginner,assignment
Artificial Intelligence and Machine Learning,17,39,21,beginner,quiz
CyberSecurity,21,3,14,beginner,assignment
Artificial Intelligence and Machine Learning,8,2,38,beginner,assignment
Data Science and Analytics,13,8,34,beginner,assignment
Cloud Computing,10,31,5,beginner,video
Devops and Systems Integration,20,37,2,beginner,video
IT Project Management,37,6,23,beginner,assignment
CyberSecurity,40,36,35,beginner,video
Network and System Administration,5,25,27,beginner,quiz
Artificial Intelligence and Machine Learning,29,0,11,beginner,assignment
Network and System Administration,5,8,8,beginner,quiz
Database Management,31,9,20,beginner,assignment
Artificial Intelligence and Machine Learning,9,40,40,beginner,quiz
CyberSecurity,2,32,11,beginner,quiz
Software Engineering and Development,7,24,27,beginner,quiz
CyberSecurity,39,21,8,beginner,video
Data Science and Analytics,32,20,6,beginner,video
CyberSecurity,30,28,0,beginner,video
Web Development,19,34,0,beginner,video
Database Management,0,12,16,beginner,quiz
CyberSecurity,9,23,12,beginner,quiz
CyberSecurity,12,6,30,beginner,assignment
Devops and Systems Integration,24,29,23,beginner,video
IT Project Management,22,7,33,beginner,assignment
Web Development,36,36,24,beginner,video
Database Management,12,40,39,beginner,quiz
Data Science and Analytics,15,19,21,beginner,quiz
Software Engineering and Development,18,8,26,beginner,assignment
CyberSecurity,16,36,31,beginner,quiz
Devops and Systems Integration,7,26,5,beginner,video
CyberSecurity,30,28,32,beginner,assignment
Artificial Intelligence and Machine Learning,38,5,31,beginner,assignment
Web Development,16,40,22,beginner,quiz
Artificial Intelligence and Machine Learning,23,4,29,beginner,assignment
CyberSecurity,11,8,27,beginner,assignment
Software Engineering and Development,20,30,2,beginner,video
Artificial Intelligence and Machine Learning,3,11,23,beginner,quiz
Data Science and Analytics,13,11,25,beginner,assignment
Software Engineering and Development,39,13,26,beginner,assignment
Devops and Systems Integration,2,39,36,beginner,quiz
Cloud Computing,30,37,24,beginner,video
Devops and Systems Integration,27,35,28,beginner,quiz
Software Engineering and Development,7,32,30,beginner,quiz
Software Engineering and Development,23,15,22,beginner,assignment
Data Science and Analytics,30,25,7,beginner,video
CyberSecurity,8,16,23,beginner,quiz
Database Management,7,14,17,beginner,quiz
Devops and Systems Integration,4,26,10,beginner,quiz
Software Engineering and Development,0,10,2,beginner,quiz
Data Science and Analytics,3,39,13,beginner,quiz
Cloud Computing,11,39,8,beginner,video
Data Science and Analytics,8,14,6,beginner,video
Software Engineering and Development,1,4,26,beginner,quiz
IT Project Management,1,38,30,beginner,quiz
Devops and Systems Integration,38,24,27,beginner,assignment
CyberSecurity,17,29,8,beginner,video
Cloud Computing,30,16,10,beginner,video
Database Management,4,13,7,beginner,quiz
CyberSecurity,25,25,12,beginner,video
Devops and Systems Integration,22,19,11,beginner,video
Data Science and Analytics,20,33,38,beginner,quiz
Network and System Administration,35,17,2,beginner,video
Cloud Computing,3,9,11,beginner,quiz
Artificial Intelligence and Machine Learning,19,34,12,beginner,video
Software Engineering and Development,31,36,8,beginner,video
Devops and Systems Integration,19,19,34,beginner,quiz
Data Science and Analytics,33,20,23,beginner,assignment
Network and System Administration,20,8,21,beginner,assignment
Data Science and Analytics,5,8,35,beginner,quiz
Artificial Intelligence and Machine Learning,13,32,16,beginner,quiz
Artificial Intelligence and Machine Learning,8,40,11,beginner,quiz
Network and System Administration,12,4,38,beginner,assignment
Artificial Intelligence and Machine Learning,4,31,30,beginner,quiz
Cloud Computing,0,9,21,beginner,quiz
Data Science and Analytics,21,37,11,beginner,video
Artificial Intelligence and Machine Learning,35,39,9,beginner,video
Network and System Administration,4,40,16,beginner,quiz
CyberSecurity,35,24,0,beginner,video
Cloud Computing,9,11,7,beginner,video
Software Engineering and Development,20,24,34,beginner,quiz
Devops and Systems Integration,8,40,4,beginner,video
Devops and Systems Integration,40,17,31,beginner,assignment
Network and System Administration,12,15,39,beginner,quiz
Web Development,26,24,26,beginner,assignment
Software Engineering and Development,11,21,30,beginner,quiz
Data Science and Analytics,2,39,1,beginner,video
Devops and Systems Integration,34,22,33,beginner,assignment
Data Science and Analytics,9,39,38,beginner,quiz
Software Engineering and Development,34,36,0,beginner,video
Cloud Computing,12,6,9,beginner,assignment
IT Project Management,12,3,36,beginner,assignment
Network and System Administration,11,8,23,beginner,assignment
Devops and Systems Integration,3,9,19,beginner,quiz
Data Science and Analytics,2,31,17,beginner,quiz
Devops and Systems Integration,30,23,32,beginner,assignment
Artificial Intelligence and Machine Learning,5,11,3,beginner,video
Web Development,17,22,13,beginner,video
Database Management,13,32,40,beginner,quiz
IT Project Management,5,24,18,beginner,quiz
Artificial Intelligence and Machine Learning,27,4,17,beginner,assignment
Web Development,34,4,30,beginner,assignment
Artificial Intelligence and Machine Learning,37,14,9,beginner,video
Data Science and Analytics,26,14,13,beginner,video
IT Project Management,35,6,12,beginner,assignment
Software Engineering and Development,22,23,7,beginner,video
Devops and Systems Integration,3,0,40,beginner,assignment
Network and System Administration,32,3,34,beginner,assignment
Artificial Intelligence and Machine Learning,26,14,35,beginner,assignment
Data Science and Analytics,1,3,2,beginner,quiz
Web Development,38,3,26,beginner,assignment
Network and System Administration,36,7,35,beginner,assignment
CyberSecurity,15,17,5,beginner,video
IT Project Management,15,22,35,beginner,quiz
Database Management,3,34,27,beginner,quiz
CyberSecurity,17,18,3,beginner,video
Cloud Computing,32,38,18,beginner,video
Artificial Intelligence and Machine Learning,7,32,20,beginner,quiz
Database Management,16,35,39,beginner,quiz
IT Project Management,38,13,36,beginner,assignment
IT Project Management,2,27,27,beginner,quiz
Data Science and Analytics,9,15,39,beginner,quiz
CyberSecurity,21,38,38,beginner,quiz
Database Management,39,32,0,beginner,video
Cloud Computing,10,21,39,beginner,quiz
IT Project Management,5,34,30,beginner,quiz
Web Development,35,7,29,beginner,assignment
Software Engineering and Development,15,9,26,beginner,assignment
Software Engineering and Development,24,28,34,beginner,quiz
Devops and Systems Integration,25,10,19,beginner,assignment
Artificial Intelligence and Machine Learning,7,28,24,beginner,quiz
IT Project Management,18,29,34,beginner,quiz
Network and System Administration,26,9,21,beginner,assignment
Network and System Administration,9,4,13,beginner,assignment
Software Engineering and Development,20,32,9,beginner,video
Software Engineering and Development,1,38,2,beginner,quiz
Software Engineering and Development,33,20,22,beginner,assignment
Artificial Intelligence and Machine Learning,19,18,37,beginner,assignment
Network and System Administration,16,6,37,beginner,assignment
Cloud Computing,23,32,1,beginner,video
Database Management,26,36,25,beginner,video
Artificial Intelligence and Machine Learning,36,6,39,beginner,assignment
IT Project Management,29,36,9,beginner,video
IT Project Management,38,38,0,beginner,video
Data Science and Analytics,0,21,25,beginner,quiz
Database Management,25,37,33,beginner,quiz
Network and System Administration,11,3,31,beginner,assignment
Cloud Computing,1,2,15,beginner,quiz
CyberSecurity,17,36,40,beginner,quiz
IT Project Management,14,8,10,beginner,assignment
CyberSecurity,14,23,19,beginner,quiz
Web Development,6,17,13,beginner,quiz
Cloud Computing,21,40,6,beginner,video
Cloud Computing,25,26,9,beginner,video
Database Management,33,10,14,beginner,assignment
Software Engineering and Development,31,6,24,beginner,assignment
Software Engineering and Development,15,14,31,beginner,assignment
Data Science and Analytics,17,34,27,beginner,quiz
Data Science and Analytics,29,26,35,beginner,assignment
Cloud Computing,40,38,31,beginner,video
Devops and Systems Integration,10,32,11,beginner,quiz
CyberSecurity,35,5,17,beginner,assignment
CyberSecurity,0,23,22,beginner,quiz
Cloud Computing,32,4,34,beginner,assignment
Web Development,5,39,18,beginner,quiz
Artificial Intelligence and Machine Learning,22,23,4,beginner,video
Devops and Systems Integration,37,32,5,beginner,video
Database Management,6,36,18,beginner,quiz
CyberSecurity,22,27,40,beginner,quiz
Cloud Computing,1,1,34,beginner,quiz
CyberSecurity,3,13,10,beginner,quiz
Web Development,20,4,7,beginner,assignment
Software Engineering and Development,22,11,24,beginner,assignment
Data Science and Analytics,31,23,25,beginner,assignment
Cloud Computing,9,35,24,beginner,quiz
Software Engineering and Development,13,14,23,beginner,quiz
Data Science and Analytics,18,17,4,beginner,video
Web Development,30,11,15,beginner,assignment
Software Engineering and Development,0,22,3,beginner,quiz
Web Development,25,28,17,beginner,video
IT Project Management,27,27,16,beginner,video
Data Science and Analytics,0,16,26,beginner,quiz
CyberSecurity,38,5,28,beginner,assignment
IT Project Management,1,37,6,beginner,quiz
Data Science and Analytics,40,12,15,beginner,assignment
Software Engineering and Development,25,15,18,beginner,assignment
Artificial Intelligence and Machine Learning,23,25,31,beginner,quiz
Cloud Computing,12,33,16,beginner,quiz
Network and System Administration,25,2,37,beginner,assignment
Data Science and Analytics,34,31,20,beginner,video
Cloud Computing,15,4,9,beginner,assignment
Artificial Intelligence and Machine Learning,16,28,18,beginner,quiz
IT Project Management,36,13,4,beginner,video
Cloud Computing,17,23,38,beginner,quiz
Software Engineering and Development,0,15,39,beginner,quiz
Devops and Systems Integration,22,33,39,beginner,quiz
Data Science and Analytics,23,1,2,beginner,assignment
Devops and Systems Integration,17,1,28,beginner,assignment
Software Engineering and Development,11,33,31,beginner,quiz
Devops and Systems Integration,4,30,6,beginner,quiz
Network and System Administration,29,9,28,beginner,assignment
CyberSecurity,5,10,12,beginner,quiz
Artificial Intelligence and Machine Learning,6,29,17,beginner,quiz
Data Science and Analytics,21,26,23,beginner,quiz
Network and System Administration,2,23,7,beginner,quiz
Data Science and Analytics,40,24,8,beginner,video
Web Development,38,13,10,beginner,video
Cloud Computing,7,0,21,beginner,assignment
Artificial Intelligence and Machine Learning,40,29,2,beginner,video
CyberSecurity,14,39,27,beginner,quiz
Network and System Administration,21,10,16,beginner,assignment
Software Engineering and Development,22,31,0,beginner,video
Web Development,32,5,1,beginner,video
Artificial Intelligence and Machine Learning,19,33,32,beginner,quiz
Network and System Administration,0,1,12,beginner,quiz
Software Engineering and Development,10,33,35,beginner,quiz
Cloud Computing,33,6,39,beginner,assignment
IT Project Management,37,28,3,beginner,video
Data Science and Analytics,29,39,6,beginner,video
Network and System Administration,35,1,10,beginner,assignment
CyberSecurity,32,9,24,beginner,assignment
Network and System Administration,40,25,33,beginner,assignment
CyberSecurity,2,17,19,beginner,quiz
Cloud Computing,29,10,1,beginner,video
Data Science and Analytics,20,32,8,beginner,video
Data Science and Analytics,14,25,40,beginner,quiz
Software Engineering and Development,7,21,0,beginner,video
Devops and Systems Integration,24,38,5,beginner,video
Devops and Systems Integration,23,3,30,beginner,assignment
Artificial Intelligence and Machine Learning,10,6,9,beginner,assignment
Database Management,39,29,33,beginner,assignment
CyberSecurity,22,29,29,beginner,quiz
Software Engineering and Development,8,4,16,beginner,assignment
Software Engineering and Development,11,11,21,beginner,quiz
Artificial Intelligence and Machine Learning,8,30,11,beginner,quiz
Artificial Intelligence and Machine Learning,7,26,30,beginner,quiz
Devops and Systems Integration,39,23,13,beginner,video
Devops and Systems Integration,0,34,1,beginner,quiz
Data Science and Analytics,7,4,0,beginner,video
Database Management,4,36,36,beginner,quiz
Web Development,18,14,12,beginner,video
Data Science and Analytics,39,21,31,beginner,assignment
Database Management,9,27,21,beginner,quiz
Database Management,39,32,10,beginner,video
Data Science and Analytics,33,16,35,beginner,assignment
Software Engineering and Development,31,5,5,beginner,assignment
Artificial Intelligence and Machine Learning,0,11,14,beginner,quiz
Artificial Intelligence and Machine Learning,10,36,26,beginner,quiz
Network and System Administration,26,19,25,beginner,assignment
Web Development,34,15,20,beginner,assignment
Data Science and Analytics,4,16,15,beginner,quiz
CyberSecurity,7,18,32,beginner,quiz
Database Management,39,35,37,beginner,assignment
Network and System Administration,33,18,3,beginner,video
Web Development,19,26,34,beginner,quiz
Cloud Computing,27,14,4,beginner,video
Cloud Computing,36,34,0,beginner,video
Database Management,38,16,22,beginner,assignment
Artificial Intelligence and Machine Learning,25,9,6,beginner,video
Cloud Computing,34,11,1,beginner,video
Devops and Systems Integration,5,31,26,beginner,quiz
Software Engineering and Development,27,26,39,beginner,assignment
IT Project Management,6,8,3,beginner,video
Artificial Intelligence and Machine Learning,28,14,31,beginner,assignment
CyberSecurity,9,38,17,beginner,quiz
IT Project Management,38,7,1,beginner,video
Database Management,39,35,16,beginner,video
Cloud Computing,21,28,37,beginner,quiz
Cloud Computing,10,13,12,beginner,quiz
Network and System Administration,12,16,36,beginner,quiz
Data Science and Analytics,31,37,13,beginner,video
CyberSecurity,9,26,22,beginner,quiz
Software Engineering and Development,7,10,23,beginner,quiz
CyberSecurity,0,36,30,beginner,quiz
IT Project Management,7,11,34,beginner,quiz
Network and System Administration,10,12,30,beginner,quiz
Database Management,26,6,9,beginner,assignment
Web Development,20,32,10,beginner,video
Database Management,15,38,34,beginner,quiz
Data Science and Analytics,38,13,37,beginner,assignment
Data Science and Analytics,5,29,15,beginner,quiz
CyberSecurity,39,34,26,beginner,video
IT Project Management,33,11,38,beginner,assignment
Artificial Intelligence and Machine Learning,36,28,20,beginner,video
CyberSecurity,40,14,40,beginner,assignment
Data Science and Analytics,14,36,35,beginner,quiz
CyberSecurity,15,13,27,beginner,assignment
Database Management,1,26,5,beginner,quiz
Cloud Computing,21,29,21,beginner,quiz
Devops and Systems Integration,26,10,38,beginner,assignment
Network and System Administration,18,3,21,beginner,assignment
CyberSecurity,37,27,28,beginner,assignment
Artificial Intelligence and Machine Learning,34,33,16,beginner,video
Cloud Computing,32,4,12,beginner,assignment
Devops and Systems Integration,32,14,4,beginner,video
Web Development,20,9,20,beginner,assignment
Devops and Systems Integration,1,25,24,beginner,quiz
Data Science and Analytics,18,6,1,beginner,video
Web Development,29,29,15,beginner,video
CyberSecurity,24,28,40,beginner,quiz
Web Development,32,36,3,beginner,video
Data Science and Analytics,5,11,16,beginner,quiz
IT Project Management,22,22,20,beginner,video
IT Project Management,18,33,40,beginner,quiz
Network and System Administration,40,13,20,beginner,assignment
CyberSecurity,2,12,28,beginner,quiz
CyberSecurity,38,38,40,beginner,quiz
Web Development,8,32,3,beginner,video
Web Development,26,19,33,beginner,assignment
