Subject,Course Score,Learning Score,Quiz Score,Complexity,Learning Content
Network and System Administration,21,25,3,Beginner,Video
CyberSecurity,11,10,31,Beginner,Assignment
IT Project Management,7,5,15,Beginner,Assignment
Network and System Administration,33,18,25,Beginner,Assignment
Data Science and Analytics,22,10,30,Beginner,Assignment
Web Development,33,35,0,Beginner,Video
Network and System Administration,13,13,20,Beginner,Quiz
Web Development,33,32,2,Beginner,Video
IT Project Management,33,20,16,Beginner,Video
Cloud Computing,38,4,3,Beginner,Video
Database Management,20,19,4,Beginner,Video
Web Development,28,9,1,Beginner,Video
Database Management,35,25,16,Beginner,Video
Cloud Computing,8,29,33,Beginner,Quiz
Cloud Computing,32,19,18,Beginner,Video
Cloud Computing,38,4,5,Beginner,Assignment
IT Project Management,25,40,36,Beginner,Quiz
IT Project Management,7,8,30,Beginner,Quiz
Network and System Administration,36,15,5,Beginner,Video
Web Development,38,22,39,Beginner,Assignment
Artificial Intelligence and Machine Learning,0,1,35,Beginner,Quiz
CyberSecurity,22,32,21,Beginner,Video
Network and System Administration,36,32,33,Beginner,Assignment
IT Project Management,3,37,39,Beginner,Quiz
Software Engineering and Development,17,9,12,Beginner,Assignment
IT Project Management,7,21,3,Beginner,Video
IT Project Management,37,26,32,Beginner,Assignment
Cloud Computing,39,25,20,Beginner,Video
Software Engineering and Development,8,9,40,Beginner,Quiz
Web Development,0,37,7,Beginner,Quiz
Software Engineering and Development,27,13,4,Beginner,Video
Devops and Systems Integration,37,25,1,Beginner,Video
Database Management,33,12,31,Beginner,Assignment
CyberSecurity,10,8,32,Beginner,Assignment
IT Project Management,18,26,20,Beginner,Quiz
IT Project Management,27,6,9,Beginner,Assignment
Artificial Intelligence and Machine Learning,7,39,40,Beginner,Quiz
Web Development,16,10,12,Beginner,Assignment
Cloud Computing,34,12,9,Beginner,Video
Database Management,32,2,1,Beginner,Video
Data Science and Analytics,23,38,26,Beginner,Quiz
Cloud Computing,25,32,36,Beginner,Quiz
IT Project Management,37,18,0,Beginner,Video
Devops and Systems Integration,5,24,38,Beginner,Quiz
Data Science and Analytics,16,32,10,Beginner,Video
Data Science and Analytics,3,22,14,Beginner,Quiz
Artificial Intelligence and Machine Learning,17,23,33,Beginner,Quiz
Artificial Intelligence and Machine Learning,9,24,8,Beginner,Video
Software Engineering and Development,0,22,25,Beginner,Quiz
Artificial Intelligence and Machine Learning,15,37,14,Beginner,Video
Cloud Computing,16,25,26,Beginner,Quiz
Web Development,10,21,2,Beginner,Video
IT Project Management,21,36,14,Beginner,Video
Artificial Intelligence and Machine Learning,26,18,34,Beginner,Assignment
Network and System Administration,6,30,18,Beginner,Quiz
Web Development,2,37,40,Beginner,Quiz
Database Management,12,1,30,Beginner,Assignment
Database Management,40,9,27,Beginner,Assignment
CyberSecurity,27,35,10,Beginner,Video
CyberSecurity,36,37,8,Beginner,Video
Web Development,20,4,24,Beginner,Assignment
Data Science and Analytics,21,38,39,Beginner,Quiz
Network and System Administration,11,33,38,Beginner,Quiz
Database Management,25,17,38,Beginner,Assignment
Software Engineering and Development,26,38,2,Beginner,Video
Software Engineering and Development,28,10,5,Beginner,Video
Database Management,2,22,30,Beginner,Quiz
Artificial Intelligence and Machine Learning,29,31,1,Beginner,Video
Database Management,1,5,39,Beginner,Quiz
IT Project Management,1,0,6,Beginner,Assignment
Data Science and Analytics,9,26,30,Beginner,Quiz
CyberSecurity,28,37,18,Beginner,Video
Database Management,38,10,37,Beginner,Assignment
CyberSecurity,19,36,25,Beginner,Quiz
Database Management,13,38,5,Beginner,Video
Data Science and Analytics,15,10,0,Beginner,Video
IT Project Management,33,30,34,Beginner,Assignment
IT Project Management,26,33,24,Beginner,Video
Data Science and Analytics,31,25,38,Beginner,Assignment
Cloud Computing,2,12,4,Beginner,Quiz
Network and System Administration,22,4,38,Beginner,Assignment
Software Engineering and Development,13,7,37,Beginner,Assignment
Artificial Intelligence and Machine Learning,9,22,17,Beginner,Quiz
Devops and Systems Integration,4,39,9,Beginner,Quiz
CyberSecurity,5,35,40,Beginner,Quiz
Data Science and Analytics,29,33,26,Beginner,Video
Devops and Systems Integration,6,34,5,Beginner,Video
IT Project Management,2,21,38,Beginner,Quiz
Database Management,26,8,1,Beginner,Video
CyberSecurity,4,21,7,Beginner,Quiz
Network and System Administration,29,17,34,Beginner,Assignment
Web Development,40,25,27,Beginner,Assignment
Cloud Computing,5,28,2,Beginner,Video
IT Project Management,17,11,22,Beginner,Assignment
IT Project Management,10,10,4,Beginner,Video
Web Development,36,0,39,Beginner,Assignment
Cloud Computing,2,10,0,Beginner,Video
Database Management,18,12,16,Beginner,Assignment
Data Science and Analytics,11,9,33,Beginner,Assignment
Database Management,9,4,12,Beginner,Assignment
Web Development,31,40,12,Beginner,Video
Data Science and Analytics,5,36,10,Beginner,Quiz
Data Science and Analytics,0,31,25,Beginner,Quiz
Devops and Systems Integration,26,11,16,Beginner,Assignment
Web Development,29,19,1,Beginner,Video
Database Management,19,14,33,Beginner,Assignment
Devops and Systems Integration,20,11,5,Beginner,Video
Web Development,37,38,11,Beginner,Video
Web Development,35,35,35,Beginner,Quiz
CyberSecurity,28,4,7,Beginner,Assignment
Web Development,4,21,27,Beginner,Quiz
Network and System Administration,0,38,29,Beginner,Quiz
Cloud Computing,4,39,12,Beginner,Quiz
Web Development,7,11,33,Beginner,Quiz
Cloud Computing,19,9,33,Beginner,Assignment
Database Management,23,33,38,Beginner,Quiz
Database Management,34,18,16,Beginner,Video
Devops and Systems Integration,2,18,7,Beginner,Quiz
Devops and Systems Integration,37,22,37,Beginner,Assignment
Web Development,26,14,24,Beginner,Assignment
IT Project Management,18,18,13,Beginner,Video
Data Science and Analytics,10,7,12,Beginner,Assignment
Devops and Systems Integration,23,8,21,Beginner,Assignment
Cloud Computing,8,0,35,Beginner,Assignment
CyberSecurity,35,30,20,Beginner,Video
Devops and Systems Integration,13,4,24,Beginner,Assignment
IT Project Management,29,18,7,Beginner,Video
Artificial Intelligence and Machine Learning,35,37,36,Beginner,Quiz
Database Management,38,3,35,Beginner,Assignment
IT Project Management,32,27,24,Beginner,Video
IT Project Management,21,15,27,Beginner,Assignment
Artificial Intelligence and Machine Learning,28,34,23,Beginner,Video
Data Science and Analytics,18,18,40,Beginner,Quiz
Database Management,30,34,26,Beginner,Video
IT Project Management,29,11,38,Beginner,Assignment
CyberSecurity,36,25,9,Beginner,Video
IT Project Management,36,6,29,Beginner,Assignment
Software Engineering and Development,7,15,14,Beginner,Quiz
Software Engineering and Development,14,33,35,Beginner,Quiz
Database Management,29,28,3,Beginner,Video
Network and System Administration,8,20,27,Beginner,Quiz
Network and System Administration,18,10,14,Beginner,Assignment
Cloud Computing,20,17,2,Beginner,Video
CyberSecurity,36,36,27,Beginner,Video
IT Project Management,17,24,19,Beginner,Quiz
Cloud Computing,21,31,24,Beginner,Quiz
Cloud Computing,12,29,1,Beginner,Video
Data Science and Analytics,18,0,8,Beginner,Assignment
Network and System Administration,23,17,16,Beginner,Video
Data Science and Analytics,2,8,19,Beginner,Quiz
Artificial Intelligence and Machine Learning,8,32,1,Beginner,Video
Web Development,30,5,5,Beginner,Assignment
Network and System Administration,40,6,15,Beginner,Assignment
Web Development,26,22,19,Beginner,Video
Web Development,24,19,11,Beginner,Video
Data Science and Analytics,5,38,32,Beginner,Quiz
Database Management,26,4,23,Beginner,Assignment
CyberSecurity,11,22,3,Beginner,Video
Web Development,32,14,4,Beginner,Video
CyberSecurity,9,11,10,Beginner,Quiz
Software Engineering and Development,13,22,31,Beginner,Quiz
Artificial Intelligence and Machine Learning,6,0,38,Beginner,Assignment
Web Development,20,32,37,Beginner,Quiz
Cloud Computing,21,15,13,Beginner,Video
Web Development,26,9,4,Beginner,Video
Web Development,32,29,37,Beginner,Assignment
Network and System Administration,3,4,5,Beginner,Quiz
CyberSecurity,33,1,9,Beginner,Assignment
Database Management,11,30,34,Beginner,Quiz
Database Management,25,23,29,Beginner,Assignment
IT Project Management,7,34,40,Beginner,Quiz
Network and System Administration,36,21,19,Beginner,Video
Web Development,17,19,37,Beginner,Quiz
Data Science and Analytics,38,10,0,Beginner,Video
Software Engineering and Development,6,23,23,Beginner,Quiz
CyberSecurity,18,40,1,Beginner,Video
IT Project Management,3,17,26,Beginner,Quiz
Database Management,32,6,31,Beginner,Assignment
Software Engineering and Development,21,22,39,Beginner,Quiz
Database Management,38,18,15,Beginner,Video
Cloud Computing,14,29,14,Beginner,Quiz
Data Science and Analytics,39,24,5,Beginner,Video
Database Management,31,14,22,Beginner,Assignment
Cloud Computing,1,14,18,Beginner,Quiz
IT Project Management,10,30,11,Beginner,Quiz
Data Science and Analytics,36,19,36,Beginner,Assignment
Data Science and Analytics,23,14,19,Beginner,Assignment
Software Engineering and Development,24,18,14,Beginner,Video
CyberSecurity,19,12,3,Beginner,Video
Software Engineering and Development,38,5,21,Beginner,Assignment
CyberSecurity,9,31,32,Beginner,Quiz
CyberSecurity,2,31,25,Beginner,Quiz
Network and System Administration,8,12,25,Beginner,Quiz
Data Science and Analytics,30,40,6,Beginner,Video
Software Engineering and Development,39,31,5,Beginner,Video
Software Engineering and Development,35,26,21,Beginner,Video
Network and System Administration,16,3,31,Beginner,Assignment
Cloud Computing,29,31,4,Beginner,Video
Network and System Administration,38,8,7,Beginner,Video
Web Development,26,29,25,Beginner,Video
Devops and Systems Integration,20,4,29,Beginner,Assignment
Artificial Intelligence and Machine Learning,17,39,21,Beginner,Quiz
CyberSecurity,21,3,14,Beginner,Assignment
Artificial Intelligence and Machine Learning,8,2,38,Beginner,Assignment
Data Science and Analytics,13,8,34,Beginner,Assignment
Cloud Computing,10,31,5,Beginner,Video
Devops and Systems Integration,20,37,2,Beginner,Video
IT Project Management,37,6,23,Beginner,Assignment
CyberSecurity,40,36,35,Beginner,Video
Network and System Administration,5,25,27,Beginner,Quiz
Artificial Intelligence and Machine Learning,29,0,11,Beginner,Assignment
Network and System Administration,5,8,8,Beginner,Quiz
Database Management,31,9,20,Beginner,Assignment
Artificial Intelligence and Machine Learning,9,40,40,Beginner,Quiz
CyberSecurity,2,32,11,Beginner,Quiz
Software Engineering and Development,7,24,27,Beginner,Quiz
CyberSecurity,39,21,8,Beginner,Video
Data Science and Analytics,32,20,6,Beginner,Video
CyberSecurity,30,28,0,Beginner,Video
Web Development,19,34,0,Beginner,Video
Database Management,0,12,16,Beginner,Quiz
CyberSecurity,9,23,12,Beginner,Quiz
CyberSecurity,12,6,30,Beginner,Assignment
Devops and Systems Integration,24,29,23,Beginner,Video
IT Project Management,22,7,33,Beginner,Assignment
Web Development,36,36,24,Beginner,Video
Database Management,12,40,39,Beginner,Quiz
Data Science and Analytics,15,19,21,Beginner,Quiz
Software Engineering and Development,18,8,26,Beginner,Assignment
CyberSecurity,16,36,31,Beginner,Quiz
Devops and Systems Integration,7,26,5,Beginner,Video
CyberSecurity,30,28,32,Beginner,Assignment
Artificial Intelligence and Machine Learning,38,5,31,Beginner,Assignment
Web Development,16,40,22,Beginner,Quiz
Artificial Intelligence and Machine Learning,23,4,29,Beginner,Assignment
CyberSecurity,11,8,27,Beginner,Assignment
Software Engineering and Development,20,30,2,Beginner,Video
Artificial Intelligence and Machine Learning,3,11,23,Beginner,Quiz
Data Science and Analytics,13,11,25,Beginner,Assignment
Software Engineering and Development,39,13,26,Beginner,Assignment
Devops and Systems Integration,2,39,36,Beginner,Quiz
Cloud Computing,30,37,24,Beginner,Video
Devops and Systems Integration,27,35,28,Beginner,Quiz
Software Engineering and Development,7,32,30,Beginner,Quiz
Software Engineering and Development,23,15,22,Beginner,Assignment
Data Science and Analytics,30,25,7,Beginner,Video
CyberSecurity,8,16,23,Beginner,Quiz
Database Management,7,14,17,Beginner,Quiz
Devops and Systems Integration,4,26,10,Beginner,Quiz
Software Engineering and Development,0,10,2,Beginner,Quiz
Data Science and Analytics,3,39,13,Beginner,Quiz
Cloud Computing,11,39,8,Beginner,Video
Data Science and Analytics,8,14,6,Beginner,Video
Software Engineering and Development,1,4,26,Beginner,Quiz
IT Project Management,1,38,30,Beginner,Quiz
Devops and Systems Integration,38,24,27,Beginner,Assignment
CyberSecurity,17,29,8,Beginner,Video
Cloud Computing,30,16,10,Beginner,Video
Database Management,4,13,7,Beginner,Quiz
CyberSecurity,25,25,12,Beginner,Video
Devops and Systems Integration,22,19,11,Beginner,Video
Data Science and Analytics,20,33,38,Beginner,Quiz
Network and System Administration,35,17,2,Beginner,Video
Cloud Computing,3,9,11,Beginner,Quiz
Artificial Intelligence and Machine Learning,19,34,12,Beginner,Video
Software Engineering and Development,31,36,8,Beginner,Video
Devops and Systems Integration,19,19,34,Beginner,Quiz
Data Science and Analytics,33,20,23,Beginner,Assignment
Network and System Administration,20,8,21,Beginner,Assignment
Data Science and Analytics,5,8,35,Beginner,Quiz
Artificial Intelligence and Machine Learning,13,32,16,Beginner,Quiz
Artificial Intelligence and Machine Learning,8,40,11,Beginner,Quiz
Network and System Administration,12,4,38,Beginner,Assignment
Artificial Intelligence and Machine Learning,4,31,30,Beginner,Quiz
Cloud Computing,0,9,21,Beginner,Quiz
Data Science and Analytics,21,37,11,Beginner,Video
Artificial Intelligence and Machine Learning,35,39,9,Beginner,Video
Network and System Administration,4,40,16,Beginner,Quiz
CyberSecurity,35,24,0,Beginner,Video
Cloud Computing,9,11,7,Beginner,Video
Software Engineering and Development,20,24,34,Beginner,Quiz
Devops and Systems Integration,8,40,4,Beginner,Video
Devops and Systems Integration,40,17,31,Beginner,Assignment
Network and System Administration,12,15,39,Beginner,Quiz
Web Development,26,24,26,Beginner,Assignment
Software Engineering and Development,11,21,30,Beginner,Quiz
Data Science and Analytics,2,39,1,Beginner,Video
Devops and Systems Integration,34,22,33,Beginner,Assignment
Data Science and Analytics,9,39,38,Beginner,Quiz
Software Engineering and Development,34,36,0,Beginner,Video
Cloud Computing,12,6,9,Beginner,Assignment
IT Project Management,12,3,36,Beginner,Assignment
Network and System Administration,11,8,23,Beginner,Assignment
Devops and Systems Integration,3,9,19,Beginner,Quiz
Data Science and Analytics,2,31,17,Beginner,Quiz
Devops and Systems Integration,30,23,32,Beginner,Assignment
Artificial Intelligence and Machine Learning,5,11,3,Beginner,Video
Web Development,17,22,13,Beginner,Video
Database Management,13,32,40,Beginner,Quiz
IT Project Management,5,24,18,Beginner,Quiz
Artificial Intelligence and Machine Learning,27,4,17,Beginner,Assignment
Web Development,34,4,30,Beginner,Assignment
Artificial Intelligence and Machine Learning,37,14,9,Beginner,Video
Data Science and Analytics,26,14,13,Beginner,Video
IT Project Management,35,6,12,Beginner,Assignment
Software Engineering and Development,22,23,7,Beginner,Video
Devops and Systems Integration,3,0,40,Beginner,Assignment
Network and System Administration,32,3,34,Beginner,Assignment
Artificial Intelligence and Machine Learning,26,14,35,Beginner,Assignment
Data Science and Analytics,1,3,2,Beginner,Quiz
Web Development,38,3,26,Beginner,Assignment
Network and System Administration,36,7,35,Beginner,Assignment
CyberSecurity,15,17,5,Beginner,Video
IT Project Management,15,22,35,Beginner,Quiz
Database Management,3,34,27,Beginner,Quiz
CyberSecurity,17,18,3,Beginner,Video
Cloud Computing,32,38,18,Beginner,Video
Artificial Intelligence and Machine Learning,7,32,20,Beginner,Quiz
Database Management,16,35,39,Beginner,Quiz
IT Project Management,38,13,36,Beginner,Assignment
IT Project Management,2,27,27,Beginner,Quiz
Data Science and Analytics,9,15,39,Beginner,Quiz
CyberSecurity,21,38,38,Beginner,Quiz
Database Management,39,32,0,Beginner,Video
Cloud Computing,10,21,39,Beginner,Quiz
IT Project Management,5,34,30,Beginner,Quiz
Web Development,35,7,29,Beginner,Assignment
Software Engineering and Development,15,9,26,Beginner,Assignment
Software Engineering and Development,24,28,34,Beginner,Quiz
Devops and Systems Integration,25,10,19,Beginner,Assignment
Artificial Intelligence and Machine Learning,7,28,24,Beginner,Quiz
IT Project Management,18,29,34,Beginner,Quiz
Network and System Administration,26,9,21,Beginner,Assignment
Network and System Administration,9,4,13,Beginner,Assignment
Software Engineering and Development,20,32,9,Beginner,Video
Software Engineering and Development,1,38,2,Beginner,Quiz
Software Engineering and Development,33,20,22,Beginner,Assignment
Artificial Intelligence and Machine Learning,19,18,37,Beginner,Assignment
Network and System Administration,16,6,37,Beginner,Assignment
Cloud Computing,23,32,1,Beginner,Video
Database Management,26,36,25,Beginner,Video
Artificial Intelligence and Machine Learning,36,6,39,Beginner,Assignment
IT Project Management,29,36,9,Beginner,Video
IT Project Management,38,38,0,Beginner,Video
Data Science and Analytics,0,21,25,Beginner,Quiz
Database Management,25,37,33,Beginner,Quiz
Network and System Administration,11,3,31,Beginner,Assignment
Cloud Computing,1,2,15,Beginner,Quiz
CyberSecurity,17,36,40,Beginner,Quiz
IT Project Management,14,8,10,Beginner,Assignment
CyberSecurity,14,23,19,Beginner,Quiz
Web Development,6,17,13,Beginner,Quiz
Cloud Computing,21,40,6,Beginner,Video
Cloud Computing,25,26,9,Beginner,Video
Database Management,33,10,14,Beginner,Assignment
Software Engineering and Development,31,6,24,Beginner,Assignment
Software Engineering and Development,15,14,31,Beginner,Assignment
Data Science and Analytics,17,34,27,Beginner,Quiz
Data Science and Analytics,29,26,35,Beginner,Assignment
Cloud Computing,40,38,31,Beginner,Video
Devops and Systems Integration,10,32,11,Beginner,Quiz
CyberSecurity,35,5,17,Beginner,Assignment
CyberSecurity,0,23,22,Beginner,Quiz
Cloud Computing,32,4,34,Beginner,Assignment
Web Development,5,39,18,Beginner,Quiz
Artificial Intelligence and Machine Learning,22,23,4,Beginner,Video
Devops and Systems Integration,37,32,5,Beginner,Video
Database Management,6,36,18,Beginner,Quiz
CyberSecurity,22,27,40,Beginner,Quiz
Cloud Computing,1,1,34,Beginner,Quiz
CyberSecurity,3,13,10,Beginner,Quiz
Web Development,20,4,7,Beginner,Assignment
Software Engineering and Development,22,11,24,Beginner,Assignment
Data Science and Analytics,31,23,25,Beginner,Assignment
Cloud Computing,9,35,24,Beginner,Quiz
Software Engineering and Development,13,14,23,Beginner,Quiz
Data Science and Analytics,18,17,4,Beginner,Video
Web Development,30,11,15,Beginner,Assignment
Software Engineering and Development,0,22,3,Beginner,Quiz
Web Development,25,28,17,Beginner,Video
IT Project Management,27,27,16,Beginner,Video
Data Science and Analytics,0,16,26,Beginner,Quiz
CyberSecurity,38,5,28,Beginner,Assignment
IT Project Management,1,37,6,Beginner,Quiz
Data Science and Analytics,40,12,15,Beginner,Assignment
Software Engineering and Development,25,15,18,Beginner,Assignment
Artificial Intelligence and Machine Learning,23,25,31,Beginner,Quiz
Cloud Computing,12,33,16,Beginner,Quiz
Network and System Administration,25,2,37,Beginner,Assignment
Data Science and Analytics,34,31,20,Beginner,Video
Cloud Computing,15,4,9,Beginner,Assignment
Artificial Intelligence and Machine Learning,16,28,18,Beginner,Quiz
IT Project Management,36,13,4,Beginner,Video
Cloud Computing,17,23,38,Beginner,Quiz
Software Engineering and Development,0,15,39,Beginner,Quiz
Devops and Systems Integration,22,33,39,Beginner,Quiz
Data Science and Analytics,23,1,2,Beginner,Assignment
Devops and Systems Integration,17,1,28,Beginner,Assignment
Software Engineering and Development,11,33,31,Beginner,Quiz
Devops and Systems Integration,4,30,6,Beginner,Quiz
Network and System Administration,29,9,28,Beginner,Assignment
CyberSecurity,5,10,12,Beginner,Quiz
Artificial Intelligence and Machine Learning,6,29,17,Beginner,Quiz
Data Science and Analytics,21,26,23,Beginner,Quiz
Network and System Administration,2,23,7,Beginner,Quiz
Data Science and Analytics,40,24,8,Beginner,Video
Web Development,38,13,10,Beginner,Video
Cloud Computing,7,0,21,Beginner,Assignment
Artificial Intelligence and Machine Learning,40,29,2,Beginner,Video
CyberSecurity,14,39,27,Beginner,Quiz
Network and System Administration,21,10,16,Beginner,Assignment
Software Engineering and Development,22,31,0,Beginner,Video
Web Development,32,5,1,Beginner,Video
Artificial Intelligence and Machine Learning,19,33,32,Beginner,Quiz
Network and System Administration,0,1,12,Beginner,Quiz
Software Engineering and Development,10,33,35,Beginner,Quiz
Cloud Computing,33,6,39,Beginner,Assignment
IT Project Management,37,28,3,Beginner,Video
Data Science and Analytics,29,39,6,Beginner,Video
Network and System Administration,35,1,10,Beginner,Assignment
CyberSecurity,32,9,24,Beginner,Assignment
Network and System Administration,40,25,33,Beginner,Assignment
CyberSecurity,2,17,19,Beginner,Quiz
Cloud Computing,29,10,1,Beginner,Video
Data Science and Analytics,20,32,8,Beginner,Video
Data Science and Analytics,14,25,40,Beginner,Quiz
Software Engineering and Development,7,21,0,Beginner,Video
Devops and Systems Integration,24,38,5,Beginner,Video
Devops and Systems Integration,23,3,30,Beginner,Assignment
Artificial Intelligence and Machine Learning,10,6,9,Beginner,Assignment
Database Management,39,29,33,Beginner,Assignment
CyberSecurity,22,29,29,Beginner,Quiz
Software Engineering and Development,8,4,16,Beginner,Assignment
Software Engineering and Development,11,11,21,Beginner,Quiz
Artificial Intelligence and Machine Learning,8,30,11,Beginner,Quiz
Artificial Intelligence and Machine Learning,7,26,30,Beginner,Quiz
Devops and Systems Integration,39,23,13,Beginner,Video
Devops and Systems Integration,0,34,1,Beginner,Quiz
Data Science and Analytics,7,4,0,Beginner,Video
Database Management,4,36,36,Beginner,Quiz
Web Development,18,14,12,Beginner,Video
Data Science and Analytics,39,21,31,Beginner,Assignment
Database Management,9,27,21,Beginner,Quiz
Database Management,39,32,10,Beginner,Video
Data Science and Analytics,33,16,35,Beginner,Assignment
Software Engineering and Development,31,5,5,Beginner,Assignment
Artificial Intelligence and Machine Learning,0,11,14,Beginner,Quiz
Artificial Intelligence and Machine Learning,10,36,26,Beginner,Quiz
Network and System Administration,26,19,25,Beginner,Assignment
Web Development,34,15,20,Beginner,Assignment
Data Science and Analytics,4,16,15,Beginner,Quiz
CyberSecurity,7,18,32,Beginner,Quiz
Database Management,39,35,37,Beginner,Assignment
Network and System Administration,33,18,3,Beginner,Video
Web Development,19,26,34,Beginner,Quiz
Cloud Computing,27,14,4,Beginner,Video
